id,rent,inc_sal,inc_ret,inc_emp,inc_non,inc_oth,gini,dist8020,mean_age,perc_chil,per_ret,home_size
1,20066.0,11510.0,2362.0,898.0,590.0,4707.0,39.7,3.4,39.5,13.8,11.6,2.17
2,18811.0,9521.0,4529.0,502.0,550.0,3709.0,35.6,3.7,43.0,20.2,23.3,2.8
3,20724.0,13116.0,3631.0,640.0,574.0,2763.0,31.8,2.6,41.5,17.3,17.7,2.36
4,15213.0,9483.0,2663.0,721.0,595.0,1753.0,32.5,3.0,40.5,17.6,15.7,2.35
5,4821.0,1916.0,1201.0,343.0,1259.0,44.0,34.2,2.8,30.7,34.1,6.4,3.46
6,9553.0,4981.0,2487.0,613.0,883.0,589.0,28.5,2.8,40.0,23.4,18.5,2.79
7,30340.0,15996.0,4993.0,574.0,636.0,8141.0,33.3,2.7,44.2,18.7,23.2,2.41
8,25658.0,15572.0,3997.0,656.0,796.0,4636.0,35.1,3.2,41.8,17.4,17.0,2.3
9,25572.0,12486.0,5688.0,562.0,658.0,6177.0,33.4,2.7,44.6,17.4,24.4,2.4
10,24310.0,12519.0,5053.0,613.0,618.0,5508.0,33.7,3.1,44.7,15.9,24.2,2.35
11,26194.0,14825.0,5165.0,643.0,772.0,4788.0,30.0,2.7,43.4,17.2,23.0,2.26
12,22029.0,11395.0,5342.0,564.0,501.0,4228.0,34.0,3.1,43.9,17.0,22.9,2.38
13,25916.0,14898.0,4505.0,590.0,660.0,5264.0,35.5,3.0,41.8,18.0,18.0,2.56
14,25471.0,13482.0,4829.0,641.0,607.0,5912.0,32.9,2.6,43.2,16.6,19.9,2.47
15,19826.0,12336.0,4051.0,707.0,615.0,2117.0,29.3,2.6,42.8,13.5,16.3,2.5
16,19866.0,13906.0,3214.0,677.0,523.0,1546.0,27.2,2.3,40.5,18.7,14.3,2.4
17,17174.0,12461.0,2285.0,763.0,516.0,1150.0,30.4,2.7,37.5,20.7,10.9,2.51
18,24186.0,12350.0,6541.0,549.0,647.0,4100.0,32.1,2.9,46.9,15.1,29.4,2.38
19,22362.0,10573.0,5842.0,665.0,524.0,4758.0,37.0,3.4,43.9,17.4,24.7,2.33
20,15093.0,9193.0,2694.0,738.0,741.0,1728.0,31.4,2.9,40.4,19.1,15.7,2.67
21,28792.0,18156.0,4500.0,606.0,510.0,5020.0,30.3,2.4,41.2,19.0,16.5,2.78
22,34639.0,17957.0,8228.0,375.0,441.0,7638.0,30.5,2.6,45.0,15.4,22.8,3.01
23,24488.0,15370.0,3835.0,689.0,493.0,4101.0,32.1,2.6,41.6,19.9,18.4,3.04
24,22618.0,15689.0,3305.0,702.0,452.0,2470.0,26.4,2.3,40.4,21.6,15.2,2.56
25,22451.0,16204.0,2405.0,648.0,515.0,2679.0,27.3,2.3,37.5,24.1,10.4,2.66
26,31563.0,16706.0,4633.0,548.0,592.0,9083.0,38.8,3.1,41.5,18.0,17.9,2.84
27,20447.0,12889.0,4072.0,615.0,625.0,2247.0,30.9,2.7,41.7,18.8,18.4,2.49
28,15831.0,12302.0,1110.0,685.0,643.0,1090.0,29.6,2.5,33.3,26.5,6.1,2.63
29,22824.0,11759.0,4407.0,733.0,572.0,5352.0,36.9,3.5,41.7,15.8,18.6,2.22
30,26607.0,13465.0,5283.0,731.0,598.0,6530.0,33.9,2.8,43.7,13.9,21.0,2.15
31,22107.0,13497.0,3227.0,660.0,690.0,4032.0,33.4,3.2,40.3,16.8,14.7,2.36
32,25540.0,15790.0,4022.0,539.0,584.0,4606.0,27.5,2.4,42.1,17.7,17.1,2.51
33,26814.0,16411.0,4800.0,520.0,579.0,4503.0,27.7,2.4,41.2,19.8,16.1,2.53
34,18480.0,10741.0,4747.0,550.0,741.0,1700.0,32.2,3.0,42.8,19.0,21.0,2.62
35,12225.0,7500.0,2886.0,625.0,528.0,686.0,33.1,2.9,40.6,18.0,16.9,2.69
36,13462.0,9315.0,2204.0,728.0,517.0,697.0,30.4,2.7,39.0,18.2,12.7,2.73
37,9395.0,5533.0,2333.0,627.0,568.0,335.0,30.5,2.7,38.8,22.1,16.0,3.13
38,13732.0,9090.0,2441.0,701.0,653.0,846.0,31.1,2.7,38.5,20.4,13.4,2.95
39,11387.0,7136.0,2352.0,715.0,537.0,647.0,31.8,2.6,38.1,21.7,14.1,2.96
40,11536.0,7047.0,2601.0,722.0,524.0,642.0,31.5,3.0,38.9,20.8,14.4,3.11
41,10450.0,5730.0,2963.0,633.0,682.0,443.0,28.9,2.7,40.2,20.8,18.6,3.04
42,10219.0,6626.0,1970.0,625.0,514.0,484.0,32.4,3.0,37.1,21.5,12.0,3.17
43,13729.0,7526.0,3984.0,663.0,550.0,1007.0,32.2,3.0,42.0,17.2,21.0,2.57
44,15300.0,8720.0,4254.0,691.0,549.0,1086.0,31.4,2.7,42.8,16.7,20.5,2.71
45,13898.0,9605.0,2169.0,693.0,567.0,865.0,29.0,2.6,39.7,19.6,12.3,2.69
46,12539.0,8973.0,1672.0,759.0,514.0,621.0,29.8,2.9,37.1,22.1,10.0,2.83
47,22855.0,15290.0,3271.0,665.0,630.0,2999.0,29.2,2.4,39.5,19.2,12.8,2.49
48,22607.0,14163.0,4685.0,675.0,672.0,2411.0,30.6,2.7,42.3,16.0,18.5,2.56
49,19766.0,11983.0,2052.0,937.0,440.0,4354.0,37.0,3.4,39.3,14.0,10.4,2.1
50,18049.0,10907.0,2633.0,765.0,644.0,3099.0,39.3,3.4,40.7,17.3,14.2,2.26
51,31114.0,16551.0,6118.0,490.0,596.0,7359.0,31.9,2.5,44.2,17.6,22.6,2.85
52,14229.0,9066.0,2829.0,732.0,664.0,937.0,31.6,2.8,41.9,16.6,17.6,2.32
53,13592.0,8303.0,2734.0,751.0,613.0,1190.0,28.0,2.7,39.9,20.1,14.8,2.63
54,19252.0,11109.0,3942.0,680.0,563.0,2957.0,28.3,2.3,42.7,20.7,20.1,2.57
55,12003.0,6413.0,2883.0,719.0,804.0,1185.0,33.7,3.1,41.4,21.0,19.5,2.85
56,23778.0,17076.0,2901.0,756.0,499.0,2547.0,25.4,2.1,39.8,20.5,11.4,2.73
57,17836.0,11784.0,3660.0,633.0,657.0,1102.0,24.9,2.1,42.0,18.6,15.8,2.69
58,15530.0,10457.0,2544.0,750.0,736.0,1044.0,25.4,2.2,39.8,22.0,15.5,2.7
59,15116.0,9763.0,3083.0,694.0,590.0,985.0,24.1,2.1,41.4,18.4,16.0,2.75
60,16783.0,10478.0,3350.0,663.0,708.0,1584.0,28.1,2.5,41.6,19.0,16.2,2.75
61,13650.0,7382.0,3994.0,709.0,835.0,730.0,26.5,2.3,45.9,12.7,26.7,2.13
